scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan11,subset_middle,5pct,4,3,12,True,False,0.007626435719430447,0.007626435719430447,0.007466583978384733,0.0,0.00015985174104571342,11.0929536819458,4.7238240242004395,1.0,631.58203125,0.0
scan11,subset_middle,5pct,5,4,13,True,True,0.007596204522997141,0.007596204522997141,0.007515653967857361,0.0,8.055055513978004e-05,13.388081550598145,4.608564853668213,0.9987494945526123,620.7822265625,0.0
scan11,subset_middle,2pct,0,24,15,True,True,0.005869786720722914,0.005903529468923807,0.005807994399219751,-3.37427482008934e-05,6.179232150316238e-05,11.558836936950684,3.8774631023406982,0.999991774559021,649.9863891601562,0.0
scan11,subset_middle,2pct,1,0,15,True,True,0.0074980417266488075,0.007538121193647385,0.007516474928706884,-4.007946699857712e-05,-1.843320205807686e-05,10.906660079956055,4.7631072998046875,1.0,624.3056640625,0.0
scan11,subset_middle,2pct,2,1,15,True,True,0.006741712335497141,0.0067777191288769245,0.0067700669169425964,-3.600679337978363e-05,-2.835458144545555e-05,10.29494571685791,4.323690414428711,1.0,629.9973754882812,0.0
scan11,subset_middle,2pct,3,2,13,True,False,0.007185397669672966,0.007185397669672966,0.00720139080658555,0.0,-1.5993136912584305e-05,10.645132064819336,4.546571254730225,1.0,633.1204833984375,0.0
scan11,subset_middle,2pct,4,3,13,True,False,0.007373534142971039,0.007373534142971039,0.007466583978384733,0.0,-9.304983541369438e-05,10.90359115600586,4.559969902038574,1.0,631.5777587890625,0.0
scan11,subset_middle,2pct,5,4,13,True,False,0.007596204522997141,0.007596204522997141,0.007515653967857361,0.0,8.055055513978004e-05,13.388081550598145,4.608564853668213,0.9987494945526123,620.7822265625,0.0
scan11,subset_uniform,5pct,0,0,13,True,True,0.006816816050559282,0.0067970165982842445,0.006597071420401335,1.9799452275037766e-05,0.00021974463015794754,11.116026878356934,4.3242011070251465,1.0,624.3652954101562,0.0
scan11,subset_uniform,5pct,1,8,11,True,False,0.006151279900223017,0.006151279900223017,0.005872352048754692,0.0,0.00027892785146832466,10.367724418640137,3.958528757095337,0.9999999403953552,639.973388671875,0.0
